Subject,DocUnderstanding,Fixation Count,Fixation Duration,Forward Saccade Count,Backward Saccade Count,Ratio Forward/Backward,Velocity,Forward Saccade Length,Backward Saccade Length,,,,,,,,,,
4,4,224,339.6696429,175,48,3.645833333,0.341991959,100.4517402,-360.0848339,,,,,,,,,,
4,5,119,303.8571429,95,23,4.130434783,0.311340934,92.7764142,-336.1101308,,,,,,,,,,
4,5,83,343.4698795,73,9,8.111111111,0.274103121,84.39360584,-569.2101912,,,,,,,,,,
4,5,84,290.1428571,62,21,2.952380952,0.398232669,113.0828525,-349.5217613,,,,,,,,,,
4,4,114,337.4736842,93,20,4.65,0.255353907,73.68407335,-267.4235531,,,,,,,,,,
5,2,190,499.2684211,148,41,3.609756098,0.163048586,55.05974597,-202.2901037,,,,,,,,,,
5,4,165,438.7272727,117,47,2.489361702,0.289004585,87.95584592,-225.1049169,,,,,,,,,,
5,2,123,440.5691057,82,40,2.05,0.219555707,75.92301078,-154.3668954,,,,,,,,,,
5,3,153,412.5947712,108,44,2.454545455,0.1835464,72.75220736,-182.7982615,,,,,,,,,,
5,2,107,322.8878505,73,33,2.212121212,0.300619442,99.3727679,-225.4801074,,,,,,,,,,
5,2,128,456.21875,94,33,2.848484848,0.307068422,95.29489245,-274.7137092,,,,,,,,,,
5,3,170,407.8352941,125,44,2.840909091,0.230422374,76.95737698,-211.5839533,,,,,,,,,,
5,4,115,375.4434783,83,31,2.677419355,0.186859046,75.39474019,-199.1288531,,,,,,,,,,
5,5,87,406.7126437,57,29,1.965517241,0.221272151,80.75959625,-154.436022,,,,,,,,,,
5,3,267,410.1235955,207,59,3.508474576,0.234821029,70.45333713,-241.6962985,,,,,,,,,,
5,2,169,394.9585799,128,40,3.2,0.225949063,71.77317891,-226.7749596,,,,,,,,,,
6,5,81,255.5925926,68,12,5.666666667,0.427679769,117.9499784,-660.2836748,,,,,,,,,,
6,4,59,263.2033898,49,9,5.444444444,0.392290143,92.34873725,-536.886376,,,,,,,,,,
6,5,116,278.2068966,93,22,4.227272727,0.314482533,84.91260899,-368.3040954,,,,,,,,,,
6,5,108,245.8425926,89,18,4.944444444,0.285443105,84.11227044,-358.790233,,,,,,,,,,
6,5,66,234.2121212,52,13,4,0.39329432,105.4292795,-382.9157785,,,,,,,,,,
6,5,134,287.0373134,117,16,7.3125,0.378484483,90.24240916,-692.3482675,,,,,,,,,,
6,5,47,259.1702128,34,12,2.833333333,0.341354939,103.7065113,-298.5678082,,,,,,,,,,
6,5,54,225.3888889,41,12,3.416666667,0.398502386,117.2723957,-458.5099873,,,,,,,,,,
6,5,62,289.5,48,13,3.692307692,0.279372012,84.36771252,-338.8694293,,,,,,,,,,
6,4,99,259.1616162,78,20,3.9,0.359230244,97.44356113,-357.4659746,,,,,,,,,,
6,5,54,249.7037037,43,10,4.3,0.354795975,84.51704512,-407.4664595,,,,,,,,,,
6,3,178,266.5393258,151,26,5.807692308,0.426419254,95.98414623,-607.1307553,,,,,,,,,,
6,5,116,274.9655172,94,21,4.476190476,0.31507761,86.5070205,-416.0707954,,,,,,,,,,
6,5,103,295.5825243,89,13,6.846153846,0.366574194,98.51253873,-692.5400823,,,,,,,,,,
6,3,109,295.3486239,91,17,5.352941176,0.275320775,79.45566887,-482.475989,,,,,,,,,,
6,4,106,260.745283,80,25,3.2,0.272134588,79.21666944,-285.0693013,,,,,,,,,,
6,5,24,288.75,19,4,4.75,0.392158261,119.0019355,-571.2818874,,,,,,,,,,
6,5,28,218.3571429,19,8,2.375,0.427137579,121.5235191,-366.2634653,,,,,,,,,,
6,5,93,263.6666667,81,11,7.363636364,0.35461063,92.42339396,-670.5709853,,,,,,,,,,
7,4,170,455.9882353,126,43,2.930232558,0.291170962,92.5642829,-288.147073,,,,,,,,,,
7,5,67,363.2537313,53,13,4.076923077,0.233472442,75.62504976,-298.4409038,,,,,,,,,,
7,5,132,411.9621212,98,33,2.96969697,0.31259987,90.04922798,-275.9726496,,,,,,,,,,
7,5,26,373.0384615,22,3,7.333333333,0.193191828,68.45370986,-179.6736013,,,,,,,,,,
7,3,197,469.5786802,148,48,3.083333333,0.225173078,65.41117335,-209.0657186,,,,,,,,,,
7,5,134,359.4328358,111,22,5.045454545,0.342129754,95.66261393,-456.075709,,,,,,,,,,
7,4,242,455.7479339,185,56,3.303571429,0.253434181,68.29570273,-226.2446305,,,,,,,,,,
7,3,167,467.0958084,129,37,3.486486486,0.258676464,73.18165728,-233.7348221,,,,,,,,,,
7,3,211,414.2654028,166,44,3.772727273,0.29725787,94.9563714,-362.9958262,,,,,,,,,,
7,4,177,435.5762712,131,45,2.911111111,0.197682722,65.76227356,-172.792806,,,,,,,,,,
7,5,84,376.5119048,64,19,3.368421053,0.246447054,76.61222313,-270.2078605,,,,,,,,,,
7,4,201,472.8308458,154,46,3.347826087,0.183136552,57.7459956,-185.6299123,,,,,,,,,,
